ID,NO,AREA,CATEGORY,STATUS,AREA NAME
9524,2001,76,13,锁定,医学馆医学院二楼
9525,2002,76,13,锁定,医学馆医学院二楼
9526,2003,76,13,锁定,医学馆医学院二楼
9527,2004,76,13,锁定,医学馆医学院二楼
9528,2005,76,13,锁定,医学馆医学院二楼
9529,2006,76,13,锁定,医学馆医学院二楼
9662,2139,76,13,空闲,医学馆医学院二楼
9663,2140,76,13,空闲,医学馆医学院二楼
9664,2141,76,13,空闲,医学馆医学院二楼
9665,2142,76,13,空闲,医学馆医学院二楼
9666,2143,76,13,空闲,医学馆医学院二楼
9667,2144,76,13,空闲,医学馆医学院二楼
9656,2133,76,13,锁定,医学馆医学院二楼
9657,2134,76,13,锁定,医学馆医学院二楼
9658,2135,76,13,锁定,医学馆医学院二楼
9659,2136,76,13,锁定,医学馆医学院二楼
9660,2137,76,13,锁定,医学馆医学院二楼
9661,2138,76,13,锁定,医学馆医学院二楼
9650,2127,76,13,空闲,医学馆医学院二楼
9651,2128,76,13,空闲,医学馆医学院二楼
9652,2129,76,13,空闲,医学馆医学院二楼
9653,2130,76,13,空闲,医学馆医学院二楼
9654,2131,76,13,空闲,医学馆医学院二楼
9655,2132,76,13,空闲,医学馆医学院二楼
9644,2121,76,13,锁定,医学馆医学院二楼
9645,2122,76,13,锁定,医学馆医学院二楼
9646,2123,76,13,锁定,医学馆医学院二楼
9647,2124,76,13,锁定,医学馆医学院二楼
9648,2125,76,13,锁定,医学馆医学院二楼
9649,2126,76,13,锁定,医学馆医学院二楼
9638,2115,76,13,空闲,医学馆医学院二楼
9639,2116,76,13,空闲,医学馆医学院二楼
9640,2117,76,13,空闲,医学馆医学院二楼
9641,2118,76,13,空闲,医学馆医学院二楼
9642,2119,76,13,空闲,医学馆医学院二楼
9643,2120,76,13,空闲,医学馆医学院二楼
9632,2109,76,13,锁定,医学馆医学院二楼
9633,2110,76,13,锁定,医学馆医学院二楼
9634,2111,76,13,锁定,医学馆医学院二楼
9635,2112,76,13,锁定,医学馆医学院二楼
9636,2113,76,13,锁定,医学馆医学院二楼
9637,2114,76,13,锁定,医学馆医学院二楼
9626,2103,76,13,空闲,医学馆医学院二楼
9627,2104,76,13,空闲,医学馆医学院二楼
9628,2105,76,13,空闲,医学馆医学院二楼
9629,2106,76,13,空闲,医学馆医学院二楼
9630,2107,76,13,空闲,医学馆医学院二楼
9631,2108,76,13,空闲,医学馆医学院二楼
9620,2097,76,13,锁定,医学馆医学院二楼
9621,2098,76,13,锁定,医学馆医学院二楼
9622,2099,76,13,锁定,医学馆医学院二楼
9623,2100,76,13,锁定,医学馆医学院二楼
9624,2101,76,13,锁定,医学馆医学院二楼
9625,2102,76,13,锁定,医学馆医学院二楼
9614,2091,76,13,空闲,医学馆医学院二楼
9615,2092,76,13,空闲,医学馆医学院二楼
9616,2093,76,13,空闲,医学馆医学院二楼
9617,2094,76,13,空闲,医学馆医学院二楼
9618,2095,76,13,空闲,医学馆医学院二楼
9619,2096,76,13,已预约,医学馆医学院二楼
9608,2085,76,13,锁定,医学馆医学院二楼
9609,2086,76,13,锁定,医学馆医学院二楼
9610,2087,76,13,锁定,医学馆医学院二楼
9611,2088,76,13,锁定,医学馆医学院二楼
9612,2089,76,13,锁定,医学馆医学院二楼
9613,2090,76,13,锁定,医学馆医学院二楼
9602,2079,76,13,已预约,医学馆医学院二楼
9603,2080,76,13,空闲,医学馆医学院二楼
9604,2081,76,13,空闲,医学馆医学院二楼
9605,2082,76,13,空闲,医学馆医学院二楼
9606,2083,76,13,空闲,医学馆医学院二楼
9607,2084,76,13,空闲,医学馆医学院二楼
9596,2073,76,13,锁定,医学馆医学院二楼
9597,2074,76,13,锁定,医学馆医学院二楼
9598,2075,76,13,锁定,医学馆医学院二楼
9599,2076,76,13,锁定,医学馆医学院二楼
9600,2077,76,13,锁定,医学馆医学院二楼
9601,2078,76,13,锁定,医学馆医学院二楼
9590,2067,76,13,已预约,医学馆医学院二楼
9591,2068,76,13,已预约,医学馆医学院二楼
9592,2069,76,13,空闲,医学馆医学院二楼
9593,2070,76,13,空闲,医学馆医学院二楼
9594,2071,76,13,空闲,医学馆医学院二楼
9595,2072,76,13,空闲,医学馆医学院二楼
9584,2061,76,13,锁定,医学馆医学院二楼
9585,2062,76,13,锁定,医学馆医学院二楼
9586,2063,76,13,锁定,医学馆医学院二楼
9587,2064,76,13,锁定,医学馆医学院二楼
9588,2065,76,13,锁定,医学馆医学院二楼
9589,2066,76,13,锁定,医学馆医学院二楼
9578,2055,76,13,空闲,医学馆医学院二楼
9579,2056,76,13,空闲,医学馆医学院二楼
9580,2057,76,13,空闲,医学馆医学院二楼
9581,2058,76,13,空闲,医学馆医学院二楼
9582,2059,76,13,空闲,医学馆医学院二楼
9583,2060,76,13,空闲,医学馆医学院二楼
9572,2049,76,13,锁定,医学馆医学院二楼
9573,2050,76,13,锁定,医学馆医学院二楼
9574,2051,76,13,锁定,医学馆医学院二楼
9575,2052,76,13,锁定,医学馆医学院二楼
9576,2053,76,13,锁定,医学馆医学院二楼
9577,2054,76,13,锁定,医学馆医学院二楼
9566,2043,76,13,空闲,医学馆医学院二楼
9567,2044,76,13,空闲,医学馆医学院二楼
9568,2045,76,13,空闲,医学馆医学院二楼
9569,2046,76,13,空闲,医学馆医学院二楼
9570,2047,76,13,空闲,医学馆医学院二楼
9571,2048,76,13,空闲,医学馆医学院二楼
9560,2037,76,13,锁定,医学馆医学院二楼
9561,2038,76,13,锁定,医学馆医学院二楼
9562,2039,76,13,锁定,医学馆医学院二楼
9563,2040,76,13,锁定,医学馆医学院二楼
9564,2041,76,13,锁定,医学馆医学院二楼
9565,2042,76,13,锁定,医学馆医学院二楼
9554,2031,76,13,空闲,医学馆医学院二楼
9555,2032,76,13,空闲,医学馆医学院二楼
9556,2033,76,13,空闲,医学馆医学院二楼
9557,2034,76,13,空闲,医学馆医学院二楼
