ID,NO,AREA,CATEGORY,STATUS,AREA NAME
10056,TF1A001,84,14,锁定,铁道一楼A区（学生阅览室A）
10057,TF1A002,84,14,锁定,铁道一楼A区（学生阅览室A）
10058,TF1A003,84,14,锁定,铁道一楼A区（学生阅览室A）
10059,TF1A004,84,14,锁定,铁道一楼A区（学生阅览室A）
10060,TF1A005,84,14,未锁定,铁道一楼A区（学生阅览室A）
10061,TF1A006,84,14,未锁定,铁道一楼A区（学生阅览室A）
10170,TF1A115,84,14,未锁定,铁道一楼A区（学生阅览室A）
10171,TF1A116,84,14,未锁定,铁道一楼A区（学生阅览室A）
10164,TF1A109,84,14,锁定,铁道一楼A区（学生阅览室A）
10165,TF1A110,84,14,锁定,铁道一楼A区（学生阅览室A）
10166,TF1A111,84,14,未锁定,铁道一楼A区（学生阅览室A）
10167,TF1A112,84,14,未锁定,铁道一楼A区（学生阅览室A）
10168,TF1A113,84,14,锁定,铁道一楼A区（学生阅览室A）
10169,TF1A114,84,14,锁定,铁道一楼A区（学生阅览室A）
10158,TF1A103,84,14,未锁定,铁道一楼A区（学生阅览室A）
10159,TF1A104,84,14,未锁定,铁道一楼A区（学生阅览室A）
10160,TF1A105,84,14,锁定,铁道一楼A区（学生阅览室A）
10161,TF1A106,84,14,锁定,铁道一楼A区（学生阅览室A）
10162,TF1A107,84,14,未锁定,铁道一楼A区（学生阅览室A）
10163,TF1A108,84,14,未锁定,铁道一楼A区（学生阅览室A）
10152,TF1A097,84,14,锁定,铁道一楼A区（学生阅览室A）
10153,TF1A098,84,14,锁定,铁道一楼A区（学生阅览室A）
10154,TF1A099,84,14,未锁定,铁道一楼A区（学生阅览室A）
10155,TF1A100,84,14,未锁定,铁道一楼A区（学生阅览室A）
10156,TF1A101,84,14,锁定,铁道一楼A区（学生阅览室A）
10157,TF1A102,84,14,锁定,铁道一楼A区（学生阅览室A）
10146,TF1A091,84,14,未锁定,铁道一楼A区（学生阅览室A）
10147,TF1A092,84,14,未锁定,铁道一楼A区（学生阅览室A）
10148,TF1A093,84,14,锁定,铁道一楼A区（学生阅览室A）
10149,TF1A094,84,14,锁定,铁道一楼A区（学生阅览室A）
10150,TF1A095,84,14,未锁定,铁道一楼A区（学生阅览室A）
10151,TF1A096,84,14,未锁定,铁道一楼A区（学生阅览室A）
10140,TF1A085,84,14,锁定,铁道一楼A区（学生阅览室A）
10141,TF1A086,84,14,锁定,铁道一楼A区（学生阅览室A）
10142,TF1A087,84,14,未锁定,铁道一楼A区（学生阅览室A）
10143,TF1A088,84,14,未锁定,铁道一楼A区（学生阅览室A）
10144,TF1A089,84,14,锁定,铁道一楼A区（学生阅览室A）
10145,TF1A090,84,14,锁定,铁道一楼A区（学生阅览室A）
10134,TF1A079,84,14,未锁定,铁道一楼A区（学生阅览室A）
10135,TF1A080,84,14,未锁定,铁道一楼A区（学生阅览室A）
10136,TF1A081,84,14,锁定,铁道一楼A区（学生阅览室A）
10137,TF1A082,84,14,锁定,铁道一楼A区（学生阅览室A）
10138,TF1A083,84,14,未锁定,铁道一楼A区（学生阅览室A）
10139,TF1A084,84,14,未锁定,铁道一楼A区（学生阅览室A）
10128,TF1A073,84,14,锁定,铁道一楼A区（学生阅览室A）
10129,TF1A074,84,14,锁定,铁道一楼A区（学生阅览室A）
10130,TF1A075,84,14,锁定,铁道一楼A区（学生阅览室A）
10131,TF1A076,84,14,锁定,铁道一楼A区（学生阅览室A）
10132,TF1A077,84,14,未锁定,铁道一楼A区（学生阅览室A）
10133,TF1A078,84,14,未锁定,铁道一楼A区（学生阅览室A）
10122,TF1A067,84,14,锁定,铁道一楼A区（学生阅览室A）
